Reference,Cathode materials,Charge storage mechanism,Electrolyte/ anolyte,AlCl3/XCl molar ratio (r),Ic (mA g−1),Qc  (mAh g−1)#,Vavg (V)*,QAM (Ah kg−1),EAM (Wh kg−1),PAM (W kg−1),Max. cycle
32,Phenanthrenequinone infiltrated with activated carbon (AC(PQ)),AlCl2+ intercalation (Example 1),AlCl3-EMIMCl,1.5,100,123,1.25,39,49,40,8000
,,,,,,,,,,,
33,"2,3,5,6-tetraphthalimido-p-benzoquinone (TPBQ)",AlCl2+ intercalation (Example 1),AlCl3-EMIMCl,1.3,10,171,1.2,31,37,2,3000
,,,,1.3,20,177,1.2,31,37,4,
,,,,1.3,50,156,1.2,30,36,12,
,,,,1.3,100,145,1.2,30,36,25,
,,,,1.3,200,125,1.2,29,34,55,
,,,,1.3,1000,110,1.2,28,33,303,
34,"5,10,15,20-tetraphenylporphyrin (H2TPP)",AlCl2+ Intercalation (Example 1),AlCl3-EMIMCl,1.3,100,101,1.3,27,35,35,5000
,,,,1.3,200,88,1.4,26,37,83,
35,Tetracyanoquinodimethane (TCNQ),AlCl2+ Intercalation (Example 1),AlCl3-EMIMCl,1.3,500,180,1.4,31,43,120,2000
36,Protonated polyaniline/single-walled carbon nanotubes composite (PANI/SWCNTs),AlCl2+ intercalation,AlCl3-EMIMCl,1.3,500,230,1.05,32,34,73,8000
,,(Example 2),,1.3,1000,201,1.05,31,33,164,
,,,,1.3,2000,157,1.05,30,32,402,
,,,,1.3,4000,130,1.05,29,30,935,
,,,,1.3,6000,114,1.05,28,29,1551,
,,,,1.3,8000,106,1,28,28,2079,
,,,,1.3,10000,97,1,27,27,2773,
,,,,1.3,40000,64,0.9,24,21,13238,
37,Poly(antraquinonyl) sulfide/multi-walled carbon nanotube composite (PAQS/MWCNT),AlCl2+ Intercalation,AlCl3-EMIMCl,1.5,125,177,1.1,97,107,75,500
,,,,1.5,250,166,1.1,94,103,155,
,,,,1.5,500,165,1.05,93,98,297,
,,,,1.5,1250,159,1.05,91,96,755,
,,,,1.5,2500,126,1,79,79,1577,
,Anthraquinone (AQ),AlCl2+ Intercalation,AlCl3-EMIMCl,1.5,50,183,1.1,99,109,30,500
,,,,1.5,125,168,1.05,94,99,74,
,,,,1.5,250,100,1.05,68,72,179,
,,,,1.5,500,47,1,39,39,410,
,,,,1.5,1250,12,0.9,11,10,1066,
38,Poly(anthraquinyl sulfide) (PAQS),AlCl2+ intercalation,AlCl3-EMIMCl,1.5,125,165,1.1,93,103,78,550
,,,,1.5,2500,145,1.1,87,95,1643,
,,,,,,,,,,,
39,Tetradiketone (TDK) macrocycle,AlCl2+ intercalation,AlCl3-EMIMCl,1.5,20,350,1.3,133,173,10,8000
,,,,1.5,100,206,1.15,105,121,59,
,,,,1.5,200,145,1.15,87,100,137,
,,,,1.5,500,112,1.1,74,81,362,
,,,,1.5,1000,90,1,63,63,705,
,,,,1.5,2000,66,0.9,51,45,1378,
40,Benzoquinone (BQ),EMI+ intercalation,AlCl3-EMIMCl,1.3,100,177,0.6,22,13,7,-
,"Anthracene-9,10-dione (AQ)",,,1.3,100,170,0.75,22,16,10,160
,"6,13-Pentacenequinone (PQ)",,,1.3,100,160,0.8,22,17,11,-
,"2,6-Dichloro-1,4-benzoquinone (DCBQ)",,,1.3,100,79,0.6,19,11,14,-
,"1,10-phenanthroline-5,6-dione (MN)",,,1.3,100,121,1.55,21,32,26,200
,"Phenanthrene-9,10-dione (M)",,,1.3,100,134,1.3,21,27,20,160
,Tetrachloro-1-4-benzoquinone (TCBQ),,,1.3,100,84,0.6,19,12,14,-
41,Vanadium pentoxide nanowire (V2O5),Al3+ Intercalation,Al(OTF)3-BMIMOTF,0.5 M Al(OTF)3 in BMIMOTF,10,87,0.3,85,25,3,20
42,Mesoporous lithium vanadium oxide@carbon hollow spheres (Li3VO4@C),Al3+ Intercalation,AlCl3-EMIMCl,1.3,20,137,0.5,131,65,10,100
43,Molybdenum-vanadium oxide open framework (Mo2.5+yVO9+z),Al3+ Intercalation,AlCl3-BMIMCl,1.1,2,340,0.6,305,183,1,25
,,,,1.1,20,150,0.3,143,43,6,
,,,,1.1,100,30,0.2,30,6,20,
44,Layered-type molybdite,Al3+ Intercalation,AlCl3-EMIMCl,1.1,3,100,0.8,97,77,2,25
,(α-MoO3),,,,,,,,,,
45,Creased porous vanadium pentoxide scaffolds (V2O5),Al3+ Intercalation,AlCl3-EMIMCl,1.5,500,105,0.5,101,51,241,50
,,,,1.5,1000,85,0.45,83,37,438,
,,,,1.5,2000,58,0.6,57,34,1177,
,,,,,,,,,,,
46,Coral-like tellurium dioxide microwires (TeO2),Al3+ Intercalation,AlCl3-EMIMCl,1.3,200,285.9,1.05,261,274,192,700
,,,,1.3,500,246.8,1.1,228,251,508,
47,Anatase titanium dioxide nanorod (TiO2),Al3+ Intercalation,AlCl3-EMIMCl,1.1,50,112,0.55,108,59,27,150
,,,,1.1,500,40,0.7,39,28,345,
,,,,1.3,500,52,0.6,51,31,295,
,,,,1.5,500,57,0.7,56,39,343,
,,,,2,50,165,0.5,156,78,24,
,,,,2,500,73,0.55,71,39,268,
48,Porous carbon supported tin dioxide nanocomposite (SnO2/C),Al3+ Intercalation,AlCl3-EMIMCl,1.3,50,370,0.25,329,82,11,20000
,,,,1.3,500,205,0.4,192,77,187,
,,,,1.3,1000,183,0.4,172,69,377,
49,Nanosphere-rod-like cobalt tetraoxide (Co3O4),Al3+ Intercalation,AlCl3-EMIMCl,1.3,50,490,0.65,421,274,28,100
,,,,1.3,100,330.8,0.5,298,149,45,
,,,,1.3,200,195.3,0.55,183,101,103,
,,,,1.3,300,116,0.55,112,61,159,
,,,,1.3,400,73,0.5,71,36,195,
,,,,1.3,500,54,0.5,53,27,246,
50,Vanadium dioxide (VO2) nanorod,Al3+ Intercalation,AlCl3-BMIMCl,1,50,165,0.25,156,39,12,100
51,Layered titanium disulfide (TiS2),Al3+ Intercalation,AlCl3-BMIMCl,1.5,5,52,0.45,51,23,2,50
,Spinel-based cubic copper titanium sulfide (Cu0.31T2S4),,,1.5,5,94,0.45,91,41,2,
52,Three-dimensional carbon-encapsulated cobalt selenide nanoparticles (CoSe@C),Al3+ Intercalation,AlCl3-EMIMCl,1.3,1000,427,1,373,373,875,100
,,,,1.3,3000,310,1,281,281,2717,
,,,,1.3,5000,254.8,1,235,235,4606,
53,Molybdenum disulfide microspheres (MoS2),Al3+ Intercalation,AlCl3-EMIMCl,1.3,20,253.6,0.6,234,140,11,120
,,,,1.3,30,138.5,0.6,132,79,17,
,,,,1.3,40,77.7,0.6,76,45,23,
54,Channel-rich vanadium tetrasulfide nanowire clusters (VS4),Al3+ Intercalation,AlCl3-EMIMCl,1.3,100,252.51,0.6,233,140,55,120
,,,,1.3,200,180.4,0.6,170,102,113,
,,,,1.3,300,147.04,0.6,140,84,172,
,,,,1.3,400,129.06,0.6,124,74,230,
,,,,1.3,500,118.32,0.6,114,68,289,
,,,,1.3,600,112.81,0.6,109,65,347,
,,,,1.3,700,108.02,0.6,104,63,405,
,,,,1.3,800,103.32,0.6,100,60,464,
55,Nanosized molybdenum diselenide@carbon matrix (MoSe2@C),Al3+ Intercalation,AlCl3-EMIMCl,1.3,100,267,0.3,245,74,28,5000
,,,,1.3,200,242,0.35,224,78,65,
,,,,1.3,500,172,0.4,163,65,189,
,,,,1.3,1000,117,0.5,113,56,481,
,,,,1.3,2000,100,0.6,97,58,1161,
,,,,1.3,5000,90,0.65,87,57,3155,
56,Single-/few-layered tungsten disulfide @nitrogen-doped carbon nanofibers composites (WS2@NCNFs),Al3+ Intercalation,AlCl3-EMIMCl,1.3,100,314.07,0.8,284,227,72,100
57,Bismuth tritelluride/antimony tritelluride heterojunction (Bi2Te3/Sb2Te3),Al3+ Intercalation,AlCl3-EMIMCl,1.3,500,212,1.65,198,327,770,3000
,,,,1.3,600,207,1.6,194,310,898,
,,,,1.3,700,202,1.6,189,303,1049,
,,,,1.3,800,198,1.6,186,297,1200,
,,,,1.3,900,192,1.6,180,289,1353,
,,,,1.3,1000,185,1.55,174,270,1459,
58,Graphene-modified vanadium disulfide nanosheet composite,Al3+ Intercalation,AlCl3-EMIMCl,1.3,100,186,0.6,175,105,56,50
,(G-VS2),,,,,,,,,,
59,Cobalt sulfide@carbon nanofibers composite (CoS2@CNFs),Al3+ Intercalation,AlCl3-EMIMCl,1.3,200,170,0.75,161,121,142,1200
,,,,,,,,,,,
60,Multilayered vanadium carbide Mxene (ML-V2CTx),Al3+ Intercalation,AlCl3-EMIMCl,1.3,10,335,0.85,301,256,8,100
,Few-layered vanadium carbide Mxene (FL-V2CTx),,,1.3,100,163,1,155,155,95,
,,,,1.3,1000,120,1.05,115,121,1009,
,,,,1.3,5000,50,1,49,49,4917,
,Tetrabutylammonium hydroxide-treated few-layered vanadium carbide Mxene (TBAOH-FL-V2CTx),,,1.3,100,922,0.45,704,317,34,
61,Anthraquinone (AQ),Al3+ Intercalation,AlCl3-EMIMCl,1.5,20,229,1.1,213,234,20,200
,,,,1.5,30,226,1.1,210,231,31,
,,,,1.5,50,219,1.1,204,224,51,
,,,,1.5,100,211,1.1,197,217,103,
,,,,1.5,200,190,1.05,179,188,197,
,,,,1.5,500,166,1,157,157,474,
62,Nickel-iron layered double hydroxide microspheres with reduced graphene oxide (NiFe-LDH/rGO),Al3+ Intercalation,AlCl3-EMIMCl,1.1,500,181,0.4,171,68,189,125
,,,,1.1,600,146,0.4,139,56,229,
,,,,1.1,700,133,0.4,127,51,268,
,,,,1.1,800,119,0.35,114,40,269,
,,,,1.1,900,110,0.35,106,37,304,
,,,,1.1,1000,131,0.3,125,38,287,
